"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 13 18:03:39 GMT 2023","Mon Mar 13 18:03:39 GMT 2023","673","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Mon Mar 13 18:02:03 GMT 2023","Mon Mar 13 18:02:05 GMT 2023","2009","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Изменение кол-ва пицц - пицца с доп. опциями",""
"passed","Mon Mar 13 18:05:19 GMT 2023","Mon Mar 13 18:05:20 GMT 2023","235","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка изменения цены пиццы при выборе дополнительной опции",""
"skipped","Mon Mar 13 18:03:32 GMT 2023","Mon Mar 13 18:03:33 GMT 2023","697","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"broken","Mon Mar 13 18:04:58 GMT 2023","Mon Mar 13 18:04:58 GMT 2023","0","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности выбора дополнительной опции",""
"passed","Mon Mar 13 18:01:46 GMT 2023","Mon Mar 13 18:01:48 GMT 2023","1886","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Уменьшение кол-ва пицц - одна пицца в корзине",""
"passed","Mon Mar 13 18:03:25 GMT 2023","Mon Mar 13 18:03:27 GMT 2023","1683","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"broken","Mon Mar 13 18:02:37 GMT 2023","Mon Mar 13 18:02:37 GMT 2023","0","tests.main_page","test_add_to_cart","TestMainPageAddToCart","","","Проверка добавления пиццы в корзину - переход с помощью общего меню",""
"passed","Mon Mar 13 18:05:15 GMT 2023","Mon Mar 13 18:05:15 GMT 2023","185","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка изменения цены пиццы при выборе дополнительной опции",""
"passed","Mon Mar 13 18:06:16 GMT 2023","Mon Mar 13 18:06:19 GMT 2023","2812","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Добавление пиццы с дополнительной опцией в корзину",""
"passed","Mon Mar 13 18:06:30 GMT 2023","Mon Mar 13 18:06:31 GMT 2023","1254","tests.pizza_page","test_pizza_pages_go_to_cart","TestPizzaPagesGoToCart","","","Переход в корзину с помощью значка корзины",""
"passed","Mon Mar 13 18:04:27 GMT 2023","Mon Mar 13 18:04:29 GMT 2023","1784","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"passed","Mon Mar 13 18:06:23 GMT 2023","Mon Mar 13 18:06:26 GMT 2023","2832","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Добавление пиццы с дополнительной опцией в корзину",""
